,Func 1,Func 2,Func 3,Func 4,Func 5,Func 6,Func 7,Func 8,Func 9,Func 10
91,-0.01454232539874261,-0.014122063976716281,-0.013578690365184132,-0.013015163698402235,-0.012036062568691767,-0.010818631961629492,-0.009707350073338245,-0.00920282777693444,-0.008721071761804092,-0.0084636049103737
92,-0.014901134588227637,-0.014505138005303217,-0.013983719384992765,-0.013434106735910842,-0.012462681603505898,-0.011232912179014566,-0.010094865228077805,-0.009574434679461358,-0.009075696558299148,-0.00880852097728076
93,-0.01523276221229246,-0.014866395985159623,-0.0143732966517745,-0.013843484347927239,-0.01288821598001159,-0.011653668253877815,-0.010493113253314314,-0.009957960889857297,-0.009442981588014876,-0.009166347173996583
94,-0.015532347550643552,-0.015200961980281518,-0.01474274106050925,-0.014238990529881817,-0.01330924117117557,-0.012078684390266492,-0.01090087672172792,-0.010352575172558805,-0.009822417346628986,-0.009536726136725186
95,-0.015795202663114793,-0.015503966613279865,-0.015087206485163884,-0.014616026609346477,-0.013721925304153802,-0.012505337066736219,-0.011316610523816967,-0.010757166487151583,-0.010213262105511614,-0.009919093515188066
96,-0.01601697617980333,-0.015770697425555966,-0.015401805020246954,-0.014969791396308444,-0.014122063976717343,-0.012930581526248045,-0.011738408638614027,-0.011170308344766611,-0.010614506830268607,-0.010312644089715703
97,-0.01619381976596804,-0.01599676186289297,-0.015681751224381535,-0.015295396178792987,-0.014505138005303234,-0.013350951536874982,-0.012163975323136872,-0.01159022460104335,-0.011024839443329885,-0.010716296412376033
98,-0.01632254647382135,-0.016178253937982588,-0.015922521595573662,-0.015588002142249882,-0.014866395985159651,-0.013762576048008774,-0.012590603516877113,-0.01201475880590221,-0.011442609898735454,-0.01112865711711629
99,-0.0164007695405006,-0.016311913906665497,-0.016120021088700334,-0.015842975327226675,-0.015200961980281563,-0.014161216181652777,-0.013015163698402362,-0.01244134973510914,-0.011865798014094465,-0.01154798648200076
100,-0.01642701077195867,-0.016395269529916746,-0.016270746521373808,-0.016056051750467912,-0.015503966613279881,-0.014542325398743245,-0.01343410673591282,-0.012867016197481623,-0.01229198650914003,-0.01197216731341591
101,-0.016400769540500626,-0.01642674794399001,-0.01637193558027525,-0.016223503147251725,-0.015770697425556,-0.01490113458822788,-0.013843484347927683,-0.0132883545740093,-0.01271834218868792,-0.012398679727406017
102,-0.016322546473821302,-0.016405748921199434,-0.016421690144313113,-0.0163422923279464,-0.015996761862893026,-0.015232762212292212,-0.01423899052988254,-0.013701552711715324,-0.01314160861677361,-0.012824584878545977
103,-0.016193819765968148,-0.01633267325061911,-0.016419063944951143,-0.016410206720152372,-0.016178253937982633,-0.01553234755064439,-0.014616026609346897,-0.0141024236637198,-0.013558113874999948,-0.013246521063601193
104,-0.016016976179803008,-0.016208903761647794,-0.01636410714365514,-0.01642595951054223,-0.016311913906665497,-0.015795202663115272,-0.01496979139630826,-0.014486462235281005,-0.01396379698301986,-0.013660715817822074
105,-0.015795202663114544,-0.016036740649608822,-0.01625786395431822,-0.01638924993982313,-0.016395269529916733,-0.016016976179803816,-0.015295396178793715,-0.014848926280707286,-0.014354256178416833,-0.014063017524847954
106,-0.015532347550644176,-0.015819296668832975,-0.016102323518820176,-0.01630077754978211,-0.016426747943989996,-0.016193819765968523,-0.015588002142250177,-0.015184943159133941,-0.01472482141470378,-0.014448949573844263
107,-0.01523276221229219,-0.015560360908401455,-0.015900328295316735,-0.016162209135984415,-0.016405748921199413,-0.016322546473821774,-0.015842975327227584,-0.015489639731577558,-0.01507065208246517,-0.014813789133513515
