,latitude,longitude,car_park_no,cluster
1740,1.3369784658429071,103.84285368128073,TPMQ,8
1741,1.3337473401876647,103.85567320543173,TPMR,8
1742,1.339270203865429,103.84708721261586,TPM2,8
1743,1.3307490035221945,103.84223393404942,TPM3,8
1744,1.3357541574703333,103.84934606220978,TPM4,8
1745,1.335818685356262,103.84733993345469,TPM5,8
1746,1.3348896541471729,103.85462343286792,TPM6,8
1747,1.3398497061338188,103.84592176737154,TPM7,8
1748,1.3366352513195725,103.85928598754175,TPM8,8
1749,1.3370812821443905,103.85778898074933,TPM9,8
1750,1.3349161381898265,103.85359156385023,TP10,8
1751,1.3340273406132328,103.85210696045941,TP12,8
1752,1.3358886108582313,103.85240772188094,TP14,8
1753,1.3374793997904242,103.85083354968089,TP15,8
1754,1.333245746223494,103.8483161533347,TP16,8
1755,1.3337730224911775,103.84859327961223,TP17,8
1756,1.332589320673887,103.85074446814262,TP18,8
1757,1.3361796317904415,103.8482414982292,TP2,8
1758,1.3310224198845195,103.84448757302619,TP20,8
1759,1.3342009367863668,103.84404232075937,TP22,8
1760,1.337544127996722,103.8452675574329,TP27,8
1761,1.335341205575825,103.85155022411512,TP3,8
1762,1.3395182059074235,103.85421258052381,TP3A,8
1763,1.340605801519672,103.84633277507496,TP30,8
1764,1.3411010791516005,103.84587103389002,TP31,8
1765,1.3410803478942455,103.8474497268717,TP32,8
1766,1.3425174131789677,103.84708229584666,TP33,8
1767,1.3379881832413978,103.8524333470043,TP34,8
1768,1.3362631051523637,103.85378859000105,TP36,8
1769,1.3329161007510277,103.85424607419353,TP39,8
1770,1.339271189725484,103.85552897461851,TP4A,8
1771,1.3316871944820943,103.85671423889974,TP40,8
1772,1.3319694948660128,103.85824381543726,TP41,8
1773,1.3348375584101981,103.8572443132636,TP43,8
1774,1.3375715055634887,103.85668073960237,TP48,8
1775,1.3388696011180514,103.85574267886167,TP49,8
1776,1.3388784330957721,103.85443102196764,TP50,8
1777,1.3414086530592122,103.8545392383077,TP52,8
1778,1.3424420657666314,103.85555243223635,TP53,8
1779,1.341438887484936,103.85645585589943,TP54,8
1780,1.3367334844118628,103.86043937234068,TP56,8
1781,1.334938634962172,103.86050739683235,TP57,8
1782,1.3342047862503916,103.8607028294537,TP59,8
1783,1.340164989877938,103.85225868390958,TP60,8
1784,1.3329694275615094,103.84832067140506,TP61,8
1785,1.3414197021702787,103.85046105448858,TP62,8
1786,1.3417624541860327,103.84903277871588,TP63,8
1787,1.3423385585651624,103.8496130554869,TP64,8
1788,1.335652523129743,103.85105537987411,TP65,8
1789,1.33527703622672,103.8563877342518,TP66,8
1790,1.3327492745119438,103.85711091585055,TP67,8
1791,1.3311357042252492,103.85929371591384,TP68,8
1792,1.3398039017977645,103.84876517259396,TP7,8
1793,1.339391741464611,103.84845103464636,TP8,8
1794,1.3379496519642362,103.8494145564817,TP8A,8
1795,1.3003313037311046,103.88365782138288,TRM,15
1796,1.3006494194943568,103.88347010008971,TRS,15
1797,1.3197304025188716,103.8611096164489,TR1,11
1798,1.3791544765788513,103.75753302194023,TWM1,2
1799,1.3796366595380933,103.75657672438598,TWM2,2
1800,1.3803889157456708,103.75731672497628,TWM3,2
1801,1.3829207779958597,103.7539445336796,TWM4,4
1802,1.3790484537959018,103.75862147578971,TWM5,2
1803,1.3776881486417756,103.75515917100017,TW1,4
1804,1.378749975150724,103.75447493964853,TW2,4
1805,1.3803300689506635,103.75450502128642,TW3,4
1806,1.3820725108563843,103.75309846721014,TW4,4
1807,1.3390367795721196,103.77438705164927,TY1,9
1808,1.3384762811903597,103.77365302105225,TY2,9
1809,1.3401160500047653,103.77239112522118,TY3T,9
1810,1.3384628901081859,103.77197118619739,TY4,9
1811,1.3475709576217372,103.94694258680529,T1,5
1812,1.3508262061118326,103.94331698509667,T11,22
1813,1.3510860099421371,103.9457646070353,T12,5
1814,1.3490239873523138,103.9457387352956,T13,5
1815,1.3532075642039425,103.95276157879293,T15,5
1816,1.3525500507189252,103.95231205447486,T16,5
1817,1.3519836463649741,103.95326871485506,T17,5
1818,1.3531859030595268,103.95393938972578,T18,5
1819,1.3545340856241253,103.9533458846943,T19,5
1820,1.356214509440851,103.94736027787819,T20,5
1821,1.3544353263886084,103.94727897895837,T24,5
1822,1.3526707593180312,103.94710797478446,T25,5
1823,1.3522209278111617,103.94909820583877,T26,5
1824,1.3530053637216,103.94819132677448,T27,5
1825,1.354229234006053,103.94939840662852,T28,5
1826,1.3540288868380261,103.95096706281251,T29,5
1827,1.346640702174156,103.94744219430441,T3,5
1828,1.351063981435955,103.94941558410127,T30,5
1829,1.3511235363506409,103.94797870694161,T31,5
1830,1.3489435958045213,103.95044650654371,T32,5
1831,1.3475161741738964,103.95232364470965,T33,5
1832,1.3489116274391861,103.9526857910774,T34,5
1833,1.3488833306241554,103.95423767399994,T35,5
1834,1.3473580948340915,103.93686435633245,T37,22
1835,1.3503210301814026,103.9405361777492,T38,22
1836,1.3456852935378616,103.94048978184543,T39,22
1837,1.3454200181193685,103.94981419991491,T4,5
1838,1.3482322058800873,103.93531166289047,T41,22
1839,1.3492885418065712,103.93272407564686,T42,22
1840,1.3511513824159778,103.93433411754452,T43,22
1841,1.3507122252686137,103.93537332934645,T44,22
1842,1.3530664094691636,103.93520583669421,T45,22
1843,1.3524976218939686,103.9365303255465,T46,22
1844,1.354912464910644,103.93689893386795,T47,22
1845,1.354908408076639,103.9351143616564,T47A,22
1846,1.3538868383953737,103.93284999223344,T48,22
1847,1.3519908804356837,103.93143000035806,T49,22
1848,1.351415214205708,103.93341841093547,T49A,22
1849,1.350722444483305,103.93100089511255,T50,22
1850,1.348748572139395,103.93170156744084,T51,22
1851,1.3536055365743227,103.94372421839103,T54,22
1852,1.35629474946784,103.94525194863836,T55,5
1853,1.3500859214996381,103.93287637468974,T56,22
1854,1.3507467406692855,103.93306936325611,T57,22
1855,1.3553423222406014,103.93112476356961,T58,22
1856,1.3454696968380206,103.9458054036719,T7,5
1857,1.344961935269825,103.94562724999795,T7A,5
1858,1.3580941783804652,103.94561015235311,T72,5
1859,1.35808555961423,103.94692216628528,T73,5
1860,1.3594142202064825,103.948213461328,T74,5
1861,1.359329003227221,103.95045443431617,T75,5
1862,1.3601677402123447,103.95164211871018,T76,5
1863,1.3616776499929377,103.95277496065557,T77,5
1864,1.3576773100495547,103.95121107233138,T78,5
1865,1.3574127639795266,103.9544694414271,T79,5
1866,1.3464142307322382,103.94419007328689,T8,5
1867,1.3597987523788795,103.954572976966,T80,5
1868,1.3603298279115985,103.95796754389409,T81,5
1869,1.3478163316444631,103.94364671149785,T9,22
1870,1.334497808758932,103.87921358148871,UAM1,15
1871,1.3336909599995805,103.87922883841398,UA2,15
1872,1.3346544348736107,103.88062786478974,UA3,15
1873,1.3352920829560473,103.87892321391767,UA4,15
1874,1.336513362841354,103.88118205349492,UA5,15
1875,1.3342242369297455,103.8791563769783,UA6,15
1876,1.3357724555455204,103.89617194548707,UBA4,15
1877,1.3148102349625574,103.8708758709943,UBKM,11
1878,1.3155971787693,103.87139746428304,UBK2,15
1879,1.3152879383142535,103.8740882168002,UBK4,15
1880,1.3185357926226657,103.87395939841522,UBK5,15
1881,1.3126416639781904,103.87262135331005,UBM1,15
1882,1.3131084199960439,103.87038903663993,UBM2,11
1883,1.2866613509167766,103.84185541409289,UCS,6
1884,1.348389703017815,103.74698150151225,U1,19
1885,1.345803542198286,103.7437242364322,U10,19
1886,1.3474209171225677,103.74330320604493,U11,19
1887,1.346961571834135,103.74947027262137,U12,19
1888,1.347803447002071,103.75322229615675,U13,19
1889,1.3469896662522876,103.75493417141703,U14,19
1890,1.3488837002095344,103.75543627209288,U15,19
1891,1.3504356366859596,103.75506347479029,U16,19
1892,1.3500959655979141,103.75680557319679,U17,19
1893,1.3510894123958355,103.7587333867077,U18,19
1894,1.3485028571990136,103.75832244183836,U19,19
1895,1.3498724840033915,103.74630929254846,U2,19
1896,1.347131956113807,103.76049455516602,U20,19
1897,1.3573554142331292,103.74858361747656,U21,19
1898,1.36076433250331,103.74651456484908,U22,19
1899,1.363021192573962,103.7455653333894,U23,19
1900,1.3639079799053717,103.74764534848646,U24,19
1901,1.364516331909098,103.7474288288373,U24T,19
1902,1.3631052483305381,103.75000996550098,U25,19
1903,1.36051634143148,103.75013144078066,U26,19
1904,1.3595930873236584,103.75106506231056,U27,19
1905,1.3578757399246892,103.75056115304244,U28,19
1906,1.3585921987921117,103.74929857711686,U29,19
1907,1.351391956544542,103.74435163478522,U3,19
1908,1.356914375548832,103.7526951581767,U30,19
1909,1.3569134026813714,103.75107360482822,U31,19
1910,1.354100234198131,103.75261404178178,U32,19
1911,1.3549782392536949,103.75130696430497,U33,19
1912,1.3517336858231883,103.75370322750753,U34,19
1913,1.3467260929497138,103.74457708245401,U38,19
1914,1.3497594316284762,103.75098884548026,U39,19
1915,1.3506535652301486,103.74321996303709,U4,19
1916,1.3486324013971243,103.75136830370435,U40,19
1917,1.3494845970551803,103.75204834998063,U41,19
1918,1.3501227441783166,103.74966938642949,U41A,19
1919,1.3650831137381514,103.74593691879758,U43,19
1920,1.3469184920371335,103.75789892567143,U45,19
1921,1.3441682107567352,103.74762688341622,U46,19
1922,1.3614343194045224,103.7487706304378,U48,19
1923,1.345327913138296,103.7508084878924,U49,19
1924,1.350137241282892,103.74467788179155,U5,19
1925,1.3473419453360576,103.75565170531753,U50,19
1926,1.364844191857187,103.74648387196004,U51,19
